"Orden","Commit sugerido","Cuándo hacerlo"
"1","chore: initialize backend and frontend projects","Tras crear los proyectos y configurar herramientas básicas"
"2","feat: configure database and shipment domain entities","Tras tener entidades, migración y conexión funcional"
"3","feat: add authentication with jwt and role authorization","Tras validar login, JWT y guard de supervisor"
"4","feat: implement shipment creation and paginated listing","Tras probar creación, tracking y filtros"
"5","feat: add shipment status transitions and tracking events","Tras validar la lógica de negocio y la fecha de entrega"
"6","feat: add public shipment tracking endpoint","Tras comprobar que funciona sin autenticación"
"7","feat: implement vehicle assignment with first fit decreasing","Tras tener el endpoint y los controles de estado/capacidad"
"8","test: cover shipment rules and vehicle assignment algorithm","Tras finalizar los tests solicitados"
"9","feat: add authentication flow and protected routes","Tras implementar login, sesión, interceptor y guard en Angular"
"10","feat: add shipment list creation and detail views","Tras conectar las vistas principales"
"11","feat: add public tracking view","Tras completar la pantalla pública"
"12","docs: add setup and technical decisions to readme","Tras verificar el arranque completo"
"13","chore: finalize validation and polish project setup","Solo si realmente haces ajustes finales coherentes"
